trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,gross_buying_pct,gross_selling_pct,net_buying_pct,net_buying_dollars,tickers_bought,tickers_sold,tickers_new,tickers_exited,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,ticker,company,theme,initial_weight_pct,became_active_add
AI_BASKET_RAMP,2022-11-14,2022-09-30,0.00,13.53,13.53,100.00,3,"AMD, MRVL, P",,,"AMD:7.80, P:3.39, MRVL:2.33",13.53,0.00,13.53,365574000,,,"AMD, P, MRVL",,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Chips,,,,,,0.00,10.14,10.14,"AMD, MRVL","AMD, MRVL",,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Storage,,,,,,0.00,3.39,3.39,P,P,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Chips,,,,,,0.00,10.14,10.14,"AMD, MRVL","AMD, MRVL",,,,,
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMD,ADVANCED MICRO DEVICES INC,AI/Datacenter Chips,7.80,TRUE
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,PURE STORAGE INC,AI/Datacenter Storage,3.39,TRUE
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRVL,MARVELL TECHNOLOGY INC,AI/Datacenter Chips,2.33,TRUE
NEW_AI_SUBTHEME,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Storage,P,3.39,3.39,TRUE,P,,,,,,,,,,
AI_BASKET_RAMP,2023-02-14,2022-12-31,13.53,21.59,8.06,100.00,4,NVDA,"MRVL, P",,"AMD:9.29, MRVL:6.19, P:3.98, NVDA:2.14",7.41,0.00,7.41,188019697,"MRVL +$102M, AMD +$20M, P +$11M",,NVDA,,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2023-02-14,2022-12-31,,,,,,,,,,,,,,,,,,AI/EV,,,,,,1.77,3.27,1.51,TSLA,TSLA,,,,,
NEW_AI_POSITION_2PCT,2023-02-14,2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NVDA,NVIDIA CORPORATION,AI/Datacenter Chips,2.14,FALSE
AI_BASKET_RAMP,2023-05-15,2023-03-31,21.59,29.96,8.36,100.00,4,MU,"MRVL, P",NVDA,"AMD:13.46, MRVL:7.94, P:6.58, MU:1.97",7.36,0.00,7.36,207211332,"P +$89M, MRVL +$40M, AMD +$23M",,MU,NVDA,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2023-05-15,2023-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Storage,,,,,,3.98,6.58,2.60,P,P,,,,,
NEW_AI_SUBTHEME,2023-08-14,2023-06-30,,,,,,,,,,,,,,,,,,AI/Datacenter Infrastructure,HPE,1.58,1.58,FALSE,,,,,,,,,,,
AI_BASKET_RAMP,2023-11-14,2023-09-30,19.81,26.47,6.65,100.00,5,"CIEN, COHR",AMD,"HPE, MRVL","AMD:12.24, P:9.65, CIEN:2.71, MU:1.67, COHR:0.20",10.87,1.35,9.52,273720798,AMD +$229M,"MU -$35M, P -$4M","CIEN, COHR","MRVL, HPE",,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Optical,,,,,,0.00,2.91,2.91,"CIEN, COHR","CIEN, COHR",,,,,
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSFT,MICROSOFT CORP,AI/Hyperscaler,7.13,FALSE
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOGL,ALPHABET INC,AI/Hyperscaler,5.65,FALSE
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,META,META PLATFORMS INC,AI/Hyperscaler,3.94,FALSE
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIEN,CIENA CORP,AI/Datacenter Optical,2.71,TRUE
NEW_AI_SUBTHEME,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,,,AI/Datacenter Optical,"CIEN, COHR","2.71, 0.20",2.91,TRUE,"CIEN, COHR",,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,,,AI/EV,,,,,,1.77,4.99,3.23,TSLA,TSLA,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,,,AI/Datacenter Optical,,,,,,2.91,5.00,2.09,"CIEN, COHR","CIEN, COHR",,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,,,AI/EV,,,,,,1.77,4.99,3.23,TSLA,TSLA,,,,,
NEW_AI_POSITION_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORCL,ORACLE CORP,AI/Hyperscaler,3.31,FALSE
NEW_AI_POSITION_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AMZN,AMAZON COM INC,AI/Hyperscaler,2.31,TRUE
AI_BASKET_RAMP,2024-05-15,2024-03-31,19.54,39.66,20.12,100.00,8,"ALAB, LITE, MDB, MRVL, MU",,COHR,"MRVL:8.94, ALAB:5.93, AMD:5.51, MU:5.44, CIEN:4.73",26.16,6.50,19.66,655481376,CIEN +$32M,"P -$145M, AMD -$72M","MRVL, ALAB, MU, MDB, LITE",COHR,,,,,,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Data Infrastructure,,,,,,0.00,3.17,3.17,MDB,MDB,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,0.00,5.44,5.44,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Networking,,,,,,0.00,5.93,5.93,ALAB,ALAB,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Memory,,,,,,0.00,5.44,5.44,MU,MU,,,,,
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Networking,,,,,,0.00,5.93,5.93,ALAB,ALAB,,,,,
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRVL,MARVELL TECHNOLOGY INC,AI/Datacenter Chips,8.94,FALSE
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ALAB,ASTERA LABS INC,AI/Datacenter Networking,5.93,TRUE
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MU,MICRON TECHNOLOGY INC,AI/Datacenter Memory,5.44,TRUE
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GOOGL,ALPHABET INC,AI/Hyperscaler,4.05,TRUE
NEW_AI_POSITION_2PCT,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDB,MONGODB INC,AI/Data Infrastructure,3.17,FALSE
NEW_AI_SUBTHEME,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Datacenter Networking,ALAB,5.93,5.93,TRUE,ALAB,,,,,,,,,,
NEW_AI_SUBTHEME,2024-05-15,2024-03-31,,,,,,,,,,,,,,,,,,AI/Data Infrastructure,MDB,3.17,3.17,FALSE,,,,,,,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,,,AI/Datacenter Infrastructure,,,,,,0.00,4.13,4.13,HPE,HPE,,,,,
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2024-08-14,2024-06-30,,,,,,,,,,,,,,,,,,AI/EV,,,,,,0.81,4.54,3.73,TSLA,TSLA,,,,,
