trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct
AI_BASKET_RAMP,2022-02-14,2021-12-31,6.61,27.04,20.44,98.82,5,INTC,"AMZN, GOOGL, MU",MRVL,"AMZN:10.15, INTC:6.70, MU:4.28, GOOGL:4.27, TSLA:1.64",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,1,INTC,INTEL CORP,Semiconductor Manufacturing,6.70,FALSE,-8.74,6.70,2022-05-16,0.00
AI_BASKET_RAMP,2022-08-15,2022-06-30,20.15,27.75,7.60,89.81,5,"META, ORCL","AMZN, TSLA",MU,"AMZN:11.66, META:8.74, ORCL:3.42, TSLA:2.73, GOOGL:1.20",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,4,META,META PLATFORMS INC,AI/Hyperscaler,8.74,TRUE,-36.86,8.74,2023-08-14,32.05
NEW_AI_POSITION_2PCT,2022-08-15,2022-06-30,,,,,,,,,,,,,,,,1,ORCL,ORACLE CORP,AI/Hyperscaler,3.42,FALSE,-0.23,3.42,2022-11-14,0.00
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,13,AMD,ADVANCED MICRO DEVICES INC,AI/Datacenter Chips,5.54,TRUE,16.89,11.61,2026-02-17,235.66
NEW_AI_POSITION_2PCT,2022-11-14,2022-09-30,,,,,,,,,,,,,,,,8,P,PURE STORAGE INC,AI/Datacenter Storage,2.41,TRUE,0.80,9.07,2024-11-14,94.08
NEW_AI_SUBTHEME,2022-11-14,2022-09-30,,,,,,,,,,AI/Datacenter Storage,P,2.41,2.41,TRUE,P,11,,,,,,,,,
AI_BASKET_RAMP,2023-02-14,2022-12-31,22.50,32.72,10.22,100.00,7,NVDA,"META, MRVL, P, TSLA",,"AMD:9.29, META:6.26, MRVL:6.19, P:3.98, TSLA:3.27",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2023-02-14,2022-12-31,,,,,,,,,,,,,,,,1,NVDA,NVIDIA CORPORATION,AI/Datacenter Chips,2.14,FALSE,26.06,2.14,2023-05-15,0.00
NEW_AI_SUBTHEME,2023-08-14,2023-06-30,,,,,,,,,,AI/Datacenter Infrastructure,HPE,1.34,1.34,FALSE,,4,,,,,,,,,
AI_BASKET_RAMP,2023-11-14,2023-09-30,21.51,42.25,20.74,94.01,9,"CIEN, COHR, GOOGL, META, MSFT",AMD,"AMZN, HPE, MRVL","AMD:11.50, P:9.07, MSFT:6.70, GOOGL:5.31, META:3.70",,,,,,,,,,,,,,,,
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,3,MSFT,MICROSOFT CORP,AI/Hyperscaler,6.70,FALSE,11.02,6.70,2024-08-14,14.91
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,1,GOOGL,ALPHABET INC,AI/Hyperscaler,5.31,FALSE,9.22,5.31,2024-02-14,0.00
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,1,META,META PLATFORMS INC,AI/Hyperscaler,3.70,FALSE,40.73,3.70,2024-02-14,0.00
NEW_AI_POSITION_2PCT,2023-11-14,2023-09-30,,,,,,,,,,,,,,,,6,CIEN,CIENA CORP,AI/Datacenter Optical,2.55,TRUE,25.64,5.65,2025-05-15,96.63
NEW_AI_SUBTHEME,2023-11-14,2023-09-30,,,,,,,,,,AI/Datacenter Optical,"CIEN, COHR","2.55, 0.19",2.74,TRUE,"CIEN, COHR",11,,,,,,,,,
NEW_AI_POSITION_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,1,ORCL,ORACLE CORP,AI/Hyperscaler,3.02,FALSE,6.79,3.02,2024-05-15,0.00
NEW_AI_POSITION_2PCT,2024-02-14,2023-12-31,,,,,,,,,,,,,,,,10,AMZN,AMAZON COM INC,AI/Hyperscaler,2.11,TRUE,8.78,4.95,CURRENT,54.91
AI_BASKET_RAMP,2024-05-15,2024-03-31,29.34,38.79,9.44,75.69,12,"ALAB, GOOGL, LITE, MDB, MRVL, MU",AMZN,"COHR, ORCL","MRVL:6.77, ALAB:4.49, AMD:4.17, MU:4.12, CIEN:3.58",,,,,,,,,,,,,,,,
