trigger_type,filing_date,quarter,ai_weight_prior,ai_weight_current,ai_weight_change,total_portfolio_weight,ai_positions_count,new_ai_entries_this_quarter,ai_adds_this_quarter,ai_exits_this_quarter,top_5_ai_positions,subtheme,entering_tickers,entering_weights,total_subtheme_weight,subsequent_add,subsequent_add_tickers,quarters_held,ticker,company,theme,initial_weight_pct,became_active_add,filing_to_filing_return_pct,max_weight_pct,exit_date,cumulative_return_pct,subtheme_weight_prior,subtheme_weight_current,subtheme_weight_change,active_tickers,all_tickers_in_subtheme,fwd_1q_return,fwd_2q_return,fwd_3q_return,fwd_4q_return,smh_fwd_1q,smh_fwd_2q,smh_fwd_3q,smh_fwd_4q,excess_fwd_1q,excess_fwd_2q,excess_fwd_3q,excess_fwd_4q
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2020-08-14,2020-06-30,,,,,,,,,,Semiconductor Manufacturing,,,,,,,,,,,,,,,,0.00,3.59,3.59,INTC,INTC,-4.84,29.48,18.65,12.24,18.19,51.11,46.80,54.17,-23.03,-21.63,-28.15,-41.93
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2020-08-14,2020-06-30,,,,,,,,,,AI/Datacenter Memory,,,,,,,,,,,,,,,,3.91,6.01,2.11,MU,MU,35.66,92.42,84.55,55.56,18.19,51.11,46.80,54.17,17.47,41.31,37.75,1.39
NEW_AI_POSITION_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,1,XLNX,XILINX INC,AI/Edge Computing,3.67,FALSE,25.04,3.67,2020-11-16,0.00,,,,,,25.04,35.77,21.83,35.83,18.19,51.11,46.80,54.17,6.85,-15.34,-24.97,-18.34
NEW_AI_POSITION_2PCT,2020-08-14,2020-06-30,,,,,,,,,,,,,,,,2,INTC,INTEL CORP,Semiconductor Manufacturing,3.59,FALSE,-4.84,3.59,2021-02-16,-4.84,,,,,,-4.84,29.48,18.65,12.24,18.19,51.11,46.80,54.17,-23.03,-21.63,-28.15,-41.93
NEW_AI_SUBTHEME,2020-08-14,2020-06-30,,,,,,,,,,AI/Edge Computing,XLNX,3.67,3.67,FALSE,,6,,,,,,,,,,,,,,,25.04,35.77,21.83,35.83,18.19,51.11,46.80,54.17,6.85,-15.34,-24.97,-18.34
NEW_AI_SUBTHEME,2020-08-14,2020-06-30,,,,,,,,,,Semiconductor Manufacturing,INTC,3.59,3.59,FALSE,,7,,,,,,,,,,,,,,,-4.84,29.48,18.65,12.24,18.19,51.11,46.80,54.17,-23.03,-21.63,-28.15,-41.93
AI_BASKET_RAMP,2021-06-01,2021-03-31,3.15,8.25,5.10,69.99,4,"AMD, INTC",,,"AMD:5.36, MU:1.68, TSLA:0.68, INTC:0.52",,,,,,,,,,,,,,,,,,,,,,5.02,20.85,7.09,-7.67,5.02,20.85,7.09,-7.67,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2021-06-01,2021-03-31,,,,,,,,,,AI/Datacenter Chips,,,,,,,,,,,,,,,,0.00,5.36,5.36,AMD,AMD,33.00,81.28,41.42,16.63,5.02,20.85,7.09,-7.67,27.98,60.43,34.33,24.30
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2021-06-01,2021-03-31,,,,,,,,,,AI/Datacenter Chips,,,,,,,,,,,,,,,,0.00,5.36,5.36,AMD,AMD,33.00,81.28,41.42,16.63,5.02,20.85,7.09,-7.67,27.98,60.43,34.33,24.30
NEW_AI_POSITION_2PCT,2021-06-01,2021-03-31,,,,,,,,,,,,,,,,2,AMD,ADVANCED MICRO DEVICES INC,AI/Datacenter Chips,5.36,FALSE,33.00,5.36,2021-11-15,33.00,,,,,,33.00,81.28,41.42,16.63,5.02,20.85,7.09,-7.67,27.98,60.43,34.33,24.30
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2021-08-16,2021-06-30,,,,,,,,,,AI/Hyperscaler,,,,,,,,,,,,,,,,0.00,4.26,4.26,"AMZN, GOOGL","AMZN, GOOGL",7.41,-3.97,-25.04,-12.48,15.07,1.98,-12.09,-5.18,-7.66,-5.95,-12.95,-7.30
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2021-08-16,2021-06-30,,,,,,,,,,AI/Hyperscaler,,,,,,,,,,,,,,,,0.00,4.26,4.26,"AMZN, GOOGL","AMZN, GOOGL",7.41,-3.97,-25.04,-12.48,15.07,1.98,-12.09,-5.18,-7.66,-5.95,-12.95,-7.30
NEW_AI_POSITION_2PCT,2021-08-16,2021-06-30,,,,,,,,,,,,,,,,9,AMZN,AMAZON COM INC,AI/Hyperscaler,2.92,TRUE,7.48,11.66,2023-11-14,-14.78,,,,,,7.48,-5.93,-32.83,-13.21,15.07,1.98,-12.09,-5.18,-7.59,-7.91,-20.74,-8.03
AI_BASKET_RAMP,2022-02-14,2021-12-31,6.61,27.04,20.44,98.82,5,INTC,"AMZN, GOOGL, MU",MRVL,"AMZN:10.15, INTC:6.70, MU:4.28, GOOGL:4.27, TSLA:1.64",,,,,,,,,,,,,,,,,,,,,,-13.79,-7.01,-17.49,-3.47,-13.79,-7.01,-17.49,-3.47,0.00,0.00,0.00,0.00
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-02-14,2021-12-31,,,,,,,,,,AI/Datacenter Memory,,,,,,,,,,,,,,,,1.19,4.28,3.08,MU,MU,-21.47,-27.76,-30.87,-30.39,-13.79,-7.01,-17.49,-3.47,-7.68,-20.75,-13.38,-26.92
AI_SUBTHEME_ACTIVE_CROSS_2PCT,2022-02-14,2021-12-31,,,,,,,,,,Semiconductor Manufacturing,,,,,,,,,,,,,,,,0.00,6.70,6.70,INTC,INTC,-8.74,-22.24,-34.18,-37.13,-13.79,-7.01,-17.49,-3.47,5.05,-15.23,-16.69,-33.66
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2022-02-14,2021-12-31,,,,,,,,,,AI/Datacenter Memory,,,,,,,,,,,,,,,,1.19,4.28,3.08,MU,MU,-21.47,-27.76,-30.87,-30.39,-13.79,-7.01,-17.49,-3.47,-7.68,-20.75,-13.38,-26.92
AI_SUBTHEME_ACTIVE_CROSS_4PCT,2022-02-14,2021-12-31,,,,,,,,,,Semiconductor Manufacturing,,,,,,,,,,,,,,,,0.00,6.70,6.70,INTC,INTC,-8.74,-22.24,-34.18,-37.13,-13.79,-7.01,-17.49,-3.47,5.05,-15.23,-16.69,-33.66
NEW_AI_POSITION_2PCT,2022-02-14,2021-12-31,,,,,,,,,,,,,,,,1,INTC,INTEL CORP,Semiconductor Manufacturing,6.70,FALSE,-8.74,6.70,2022-05-16,0.00,,,,,,-8.74,-22.24,-34.18,-37.13,-13.79,-7.01,-17.49,-3.47,5.05,-15.23,-16.69,-33.66
